Hour;Load
1716;2,49
1717;2,55
1718;2,43
1719;2,484
1720;2,568
1721;2,604
1722;2,622
1723;2,466
1724;2,418
1725;2,394
1726;2,364
1727;2,406
1728;2,352
1729;2,328
1730;2,322
1731;2,34
1732;2,334
1733;2,286
1734;2,304
1735;2,232
1736;2,262
1737;2,328
1738;2,4
1739;2,388
1740;2,454
1741;2,442
1742;2,454
1743;2,424
1744;2,502
1745;2,526
1746;2,568
1747;2,532
1748;2,43
1749;2,544
1750;2,598
1751;2,55
1752;2,568
1753;2,58
1754;2,538
1755;2,634
1756;2,676
1757;2,646
1758;2,532
1759;2,676
1760;2,676
1761;2,712
1762;2,766
1763;2,676
1764;2,67
1765;2,688
1766;2,778
1767;2,706
1768;2,79
1769;2,79
1770;2,682
1771;2,628
1772;2,556
1773;2,64
1774;2,724
1775;2,622
1776;2,742
1777;2,742
1778;2,694
1779;2,802
1780;2,7
1781;2,646
1782;2,538
1783;2,4
1784;2,376
1785;2,37
1786;2,424
1787;2,496
1788;2,412
1789;2,49
1790;2,61
1791;2,574
1792;2,646
1793;2,58
1794;2,574
1795;2,526
1796;2,538
1797;2,658
1798;2,628
1799;2,454
1800;2,646
1801;2,736
1802;2,628
1803;2,7
1804;2,556
1805;2,58
1806;2,46
1807;2,604
1808;2,658
1809;2,658
1810;2,598
1811;2,652
1812;2,604
1813;2,532
1814;2,568
1815;2,586
1816;2,676
1817;2,64
1818;2,616
1819;2,556
1820;2,61
1821;2,598
1822;2,742
1823;2,52
1824;2,64
1825;2,622
1826;2,682
1827;2,658
1828;2,58
1829;2,586
1830;2,52
1831;2,652
1832;2,7
1833;2,55
1834;2,55
1835;2,652
1836;2,76
1837;2,76
1838;2,706
1839;2,58
1840;2,67
1841;2,736
1842;2,736
1843;2,598
1844;2,622
1845;2,682
1846;2,646
1847;2,544
1848;2,55
1849;2,538
1850;2,484
1851;2,58
1852;2,532
1853;2,502
1854;2,4
1855;2,58
1856;2,622
1857;2,628
1858;2,7
1859;2,724
1860;2,742
1861;2,706
1862;2,814
1863;2,754
1864;2,748
1865;2,622
1866;2,622
1867;2,484
1868;2,46
1869;2,526
1870;2,478
1871;2,526
1872;2,472
1873;2,364
1874;2,394
1875;2,316
1876;2,268
1877;2,28
1878;2,244
1879;2,28
1880;2,322
1881;2,244
1882;2,304
1883;2,292
1884;2,382
1885;2,388
1886;2,436
1887;2,436
1888;2,412
1889;2,55
1890;2,508
1891;2,442
1892;2,376
1893;2,436
1894;2,442
1895;2,382
1896;2,232
1897;2,262
1898;2,298
1899;2,208
1900;2,184
1901;2,184
1902;2,262
1903;2,244
1904;2,262
1905;2,358
1906;2,244
1907;2,232
1908;2,238
1909;2,25
1910;2,376
1911;2,376
1912;2,412
1913;2,496
1914;2,46
1915;2,34
1916;2,37
1917;2,496
1918;2,532
1919;2,484
1920;2,49
1921;2,466
1922;2,418
1923;2,424
1924;2,256
1925;2,208
1926;2,214
1927;2,154
1928;2,178
1929;2,238
1930;1,89
1931;1,83
1932;1,974
1933;1,908
1934;1,788
1935;1,764
1936;1,794
1937;1,722
1938;1,8
1939;1,734
1940;1,728
1941;1,644
1942;1,728
1943;1,722
1944;1,728
1945;1,728
1946;1,764
1947;1,722
1948;1,704
1949;1,704
1950;1,686
1951;1,416
1952;1,446
1953;1,434
1954;1,314
1955;1,488
1956;1,524
