,P_PV,P_BESS,E_BESS,pv2load,pv2bess,pv_curtailed,bess2load,lcoe,lcos,lco2,savings_EUR,co2avoided_kgCO2
1925,9.0,2.0,8.0,4093.027388772,4488.727213008104,2486.263352263577,4263.451832782696,36.93463394639806,28.202582327612983,131.275381762501,520621.01622827095,212048.2411943578
1926,9.0,2.0,10.0,4225.275261142,4581.73622101705,2261.00647188463,4352.570390391195,39.11893351417923,34.34345621105332,151.2034667781852,532502.0927343229,217426.89623230792
1927,9.0,2.0,12.0,4302.386793142,4687.309948859156,2078.3212120425255,4453.625431841197,41.396566956749375,40.373566269547304,170.9682400543785,541508.0016417103,221725.62413282096
1928,9.0,2.0,14.0,4356.440504162527,4770.088257528101,1941.4891923530517,4533.024825076696,43.80258030517248,46.3953677584502,190.90012021513024,548412.8064122323,224922.66236273324
1929,9.0,2.0,16.0,4443.265670927789,4784.327406160207,1840.4248769556834,4547.312016277196,46.30338628349929,52.426952174671804,210.9986772818538,553399.271024425,227344.30194356828
1930,9.0,2.0,18.0,4548.04767788621,4754.034603839154,1765.935672318315,4519.293854072196,48.879471740285354,58.480995544783305,231.2695504640466,557131.1699034615,229206.53128764158
1931,9.0,2.0,20.0,4573.071411055158,4786.036871874944,1708.9096711135783,4550.4560087061955,51.52826479822078,64.57872113816921,251.7666571620917,559979.7692346688,230538.74853567165
1932,9.0,2.0,22.0,4624.952352270949,4783.696625922312,1659.3689758504204,4548.992775051195,54.178676947546585,70.6461939052507,272.1838822169704,562557.358529317,231729.95446715565
1933,9.0,2.0,24.0,4683.282488570949,4769.814516548627,1614.920948924105,4536.564771146195,56.82793513134556,76.68487988230963,292.52111494119714,564919.1361961773,232832.47452306494
1934,9.0,2.0,26.0,4749.999468286736,4743.141246832838,1574.8772389241049,4511.9851649161965,59.47510997046857,82.69733575270439,312.78393505584705,567263.5737746283,233841.66904782646
1935,9.0,2.0,28.0,4771.928678808842,4757.391805922839,1538.6974693119996,4526.283196051697,62.13777820820144,88.71168320892498,333.07479348511305,569187.8754425175,234715.50550814328
1936,9.0,2.0,30.0,4836.254683950948,4723.470693373365,1508.292576719368,4494.818139129697,64.80314871465424,94.7135036144788,353.3355770029773,571088.1771749753,235506.44263160287
1937,9.0,2.0,32.0,4898.581400433053,4687.681131225996,1481.7554223846314,4461.578055089696,67.47700991964612,100.71379417615769,373.6047464380187,572848.4860905173,236195.44844908765
1938,9.0,3.0,0.0,2164.56151037868,5287.417711578939,3616.038732086052,5023.046826,27.963795645049284,0.0,41.32111630189869,452569.19118889957,182871.02981819963
1939,9.0,3.0,3.0,2383.518586557789,5620.444953217044,3064.0544142688414,5337.807705556196,31.25911410508291,11.445942913440174,77.31832296865028,483794.6592225986,196356.36381274724
1940,9.0,3.0,6.0,2528.8274973341054,5884.010775351256,2655.179681358315,5588.211217008696,34.7085727240122,21.775887257853714,110.50828159966782,506756.13911390345,206227.59182482547
1941,9.0,3.0,9.0,2797.971453094105,5976.724033917571,2293.3224670319996,5676.953812646695,38.006215669543884,31.284474087166892,141.24018353752047,527220.2226350427,215045.85794714713
1942,9.0,3.0,12.0,3030.9129594641054,6062.0870537580995,1975.0179408214726,5759.663681495196,41.23379627415174,40.21481801036289,170.2959954896241,544312.5225006982,222696.94137438448
